color,gross,actor_1_name,,movie_title,budget,imdb_score,movie_facebook_likes,movie_imdb_link
Color,760505847,CCH Pounder,,Avatar ,237000000,7.9,33000,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1
Color,309404152,Johnny Depp,,Pirates of the Caribbean: At World's End ,300000000,7.1,0,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1
Color,200074175,Christoph Waltz,,Spectre ,245000000,6.8,85000,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1
Color,448130642,Tom Hardy,,The Dark Knight Rises ,250000000,8.5,164000,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1
,,Doug Walker,,Star Wars: Episode VII - The Force Awakens             ,,7.1,0,http://www.imdb.com/title/tt5289954/?ref_=fn_tt_tt_1
Color,73058679,Daryl Sabara,,John Carter ,263700000,6.6,24000,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1
Color,336530303,J.K. Simmons,,Spider-Man 3 ,258000000,6.2,0,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1
Color,200807262,Brad Garrett,,Tangled ,260000000,7.8,29000,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1
Color,458991599,Chris Hemsworth,,Avengers: Age of Ultron ,250000000,7.5,118000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1
Color,301956980,Alan Rickman,,Harry Potter and the Half-Blood Prince ,250000000,7.5,10000,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1
Color,330249062,Henry Cavill,,Batman v Superman: Dawn of Justice ,250000000,6.9,197000,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1
Color,200069408,Kevin Spacey,,Superman Returns ,209000000,6.1,0,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1
Color,168368427,Giancarlo Giannini,,Quantum of Solace ,200000000,6.7,0,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1
Color,423032628,Johnny Depp,,Pirates of the Caribbean: Dead Man's Chest ,225000000,7.3,5000,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1
Color,89289910,Johnny Depp,,The Lone Ranger ,215000000,6.5,48000,http://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1
Color,291021565,Henry Cavill,,Man of Steel ,225000000,7.2,118000,http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1
Color,141614023,Peter Dinklage,,The Chronicles of Narnia: Prince Caspian ,225000000,6.6,0,http://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1
Color,623279547,Chris Hemsworth,,The Avengers ,220000000,8.1,123000,http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1
Color,241063875,Johnny Depp,,Pirates of the Caribbean: On Stranger Tides ,250000000,6.7,58000,http://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1
Color,179020854,Will Smith,,Men in Black 3 ,225000000,6.8,40000,http://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1
