color,gross,actor_1_name,,movie_title,budget,imdb_score,movie_facebook_likes
Color,760505847,CCH Pounder,,Avatar ,237000000,7.9,33000
Color,309404152,Johnny Depp,,Pirates of the Caribbean: At World's End ,300000000,7.1,0
Color,200074175,Christoph Waltz,,Spectre ,245000000,6.8,85000
Color,448130642,Tom Hardy,,The Dark Knight Rises ,250000000,8.5,164000
,,Doug Walker,,Star Wars: Episode VII - The Force Awakens             ,,7.1,0
Color,73058679,Daryl Sabara,,John Carter ,263700000,6.6,24000
Color,336530303,J.K. Simmons,,Spider-Man 3 ,258000000,6.2,0
Color,200807262,Brad Garrett,,Tangled ,260000000,7.8,29000
Color,458991599,Chris Hemsworth,,Avengers: Age of Ultron ,250000000,7.5,118000
Color,301956980,Alan Rickman,,Harry Potter and the Half-Blood Prince ,250000000,7.5,10000
Color,330249062,Henry Cavill,,Batman v Superman: Dawn of Justice ,250000000,6.9,197000
Color,200069408,Kevin Spacey,,Superman Returns ,209000000,6.1,0
Color,168368427,Giancarlo Giannini,,Quantum of Solace ,200000000,6.7,0
Color,423032628,Johnny Depp,,Pirates of the Caribbean: Dead Man's Chest ,225000000,7.3,5000
Color,89289910,Johnny Depp,,The Lone Ranger ,215000000,6.5,48000
Color,291021565,Henry Cavill,,Man of Steel ,225000000,7.2,118000
Color,141614023,Peter Dinklage,,The Chronicles of Narnia: Prince Caspian ,225000000,6.6,0
Color,623279547,Chris Hemsworth,,The Avengers ,220000000,8.1,123000
Color,241063875,Johnny Depp,,Pirates of the Caribbean: On Stranger Tides ,250000000,6.7,58000
Color,179020854,Will Smith,,Men in Black 3 ,225000000,6.8,40000
Color,255108370,Aidan Turner,,The Hobbit: The Battle of the Five Armies ,250000000,7.5,65000
Color,262030663,Emma Stone,,The Amazing Spider-Man ,230000000,7,56000
Color,105219735,Mark Addy,,Robin Hood ,200000000,6.7,17000
Color,258355354,Aidan Turner,,The Hobbit: The Desolation of Smaug ,225000000,7.9,83000
Color,70083519,Christopher Lee,,The Golden Compass ,180000000,6.1,0
Color,218051260,Naomi Watts,,King Kong ,207000000,7.2,0
Color,658672302,Leonardo DiCaprio,,Titanic ,200000000,7.7,26000
Color,407197282,Robert Downey Jr.,,Captain America: Civil War ,250000000,8.2,72000
Color,65173160,Liam Neeson,,Battleship ,209000000,5.9,44000
Color,652177271,Bryce Dallas Howard,,Jurassic World ,150000000,7,150000
Color,304360277,Albert Finney,,Skyfall ,200000000,7.8,80000
Color,373377893,J.K. Simmons,,Spider-Man 2 ,200000000,7.3,0
Color,408992272,Robert Downey Jr.,,Iron Man 3 ,200000000,7.2,95000
Color,334185206,Johnny Depp,,Alice in Wonderland ,200000000,6.5,24000
Color,234360014,Hugh Jackman,,X-Men: The Last Stand ,210000000,6.8,0
Color,268488329,Steve Buscemi,,Monsters University ,200000000,7.3,44000
Color,402076689,Glenn Morshower,,Transformers: Revenge of the Fallen ,200000000,6,0
Color,245428137,Bingbing Li,,Transformers: Age of Extinction ,210000000,5.7,56000
Color,234903076,Tim Holmes,,Oz the Great and Powerful ,215000000,6.4,60000
Color,202853933,Emma Stone,,The Amazing Spider-Man 2 ,200000000,6.7,41000
Color,172051787,Jeff Bridges,,TRON: Legacy ,170000000,6.8,30000
Color,191450875,Joe Mantegna,,Cars 2 ,200000000,6.3,10000
Color,116593191,Ryan Reynolds,,Green Lantern ,200000000,5.6,24000
Color,414984497,Tom Hanks,,Toy Story 3 ,200000000,8.3,30000
Color,125320003,Christian Bale,,Terminator Salvation ,200000000,6.6,0
Color,350034110,Jason Statham,,Furious 7 ,190000000,7.2,94000
Color,202351611,Peter Capaldi,,World War Z ,190000000,7,129000
Color,233914986,Jennifer Lawrence,,X-Men: Days of Future Past ,200000000,8,82000
Color,228756232,Benedict Cumberbatch,,Star Trek Into Darkness ,190000000,7.8,92000
Color,65171860,Eddie Marsan,,Jack the Giant Slayer ,195000000,6.3,22000
